Date,Open,High,Low,Close
06-May-2026,28-Jul-2026,XX,-,24471.00
05-May-2026,28-Jul-2026,XX,-,24350.00
04-May-2026,28-Jul-2026,XX,-,24478.80
30-Apr-2026,28-Jul-2026,XX,-,24405.80
29-Apr-2026,26-May-2026,XX,-,24129.00
28-Apr-2026,30-Jun-2026,XX,-,24300.00
27-Apr-2026,28-Apr-2026,XX,-,24043.00
24-Apr-2026,30-Jun-2026,XX,-,24415.80
23-Apr-2026,28-Apr-2026,XX,-,24160.00
22-Apr-2026,28-Apr-2026,XX,-,24451.60
21-Apr-2026,30-Jun-2026,XX,-,24639.90
20-Apr-2026,26-May-2026,XX,-,24589.90
17-Apr-2026,26-May-2026,XX,-,24289.40
16-Apr-2026,28-Apr-2026,XX,-,24342.00
15-Apr-2026,26-May-2026,XX,-,24321.00
13-Apr-2026,28-Apr-2026,XX,-,23748.00
10-Apr-2026,26-May-2026,XX,-,24054.30
09-Apr-2026,28-Apr-2026,XX,-,23960.00
08-Apr-2026,26-May-2026,XX,-,23900.00
07-Apr-2026,30-Jun-2026,XX,-,23217.00
06-Apr-2026,30-Jun-2026,XX,-,23055.30
02-Apr-2026,30-Jun-2026,XX,-,22759.70
01-Apr-2026,30-Jun-2026,XX,-,23280.00
30-Mar-2026,28-Apr-2026,XX,-,22700.00
